YEAR,MONTH,Industry,Employed_Persons,Average_Daily_Pay
2021,January,Agriculture and Forestry,8923.11,275.48
2021,April,Agriculture and Forestry,9210.296,272.42
2021,July,Agriculture and Forestry,7985.056,292.57
2021,October,Agriculture and Forestry,9416.182,282.54
2022,January,Agriculture and Forestry,8218.575,296.02
2022,April,Agriculture and Forestry,9461.469,293.68
2022,July,Agriculture and Forestry,9731.043,305.8
2022,October,Agriculture and Forestry,9210.668,305.87
2023,January,Agriculture and Forestry,9181.004,308.62
2023,April,Agriculture and Forestry,9171.526,310.38
2023,July,Agriculture and Forestry,7847.967,331.62
2023,October,Agriculture and Forestry,9231.904,325.54
2024,January,Agriculture and Forestry,8053.085,338.41
2024,April,Agriculture and Forestry,8353.127,344.08
2024,July,Agriculture and Forestry,8756.983,342.49
2024,October,Agriculture and Forestry,9049.217,353.09
2025,January,Agriculture and Forestry,8934.372,350.44
2025,April,Agriculture and Forestry,8612.813,356.98
2025,July,Agriculture and Forestry,7381.689,375.82
2025,October,Agriculture and Forestry,9217.489,377.06
2021,January,Fishing and Aquaculture,1120.559,334.37
2021,April,Fishing and Aquaculture,1349.754,424.73
2021,July,Fishing and Aquaculture,1200.694,309.36
2021,October,Fishing and Aquaculture,1351.593,330.01
2022,January,Fishing and Aquaculture,1176.104,331.05
2022,April,Fishing and Aquaculture,1290.353,285.23
2022,July,Fishing and Aquaculture,1399.117,322.06
2022,October,Fishing and Aquaculture,1383.146,322.13
2023,January,Fishing and Aquaculture,1334.257,338.64
2023,April,Fishing and Aquaculture,1373.743,327.09
2023,July,Fishing and Aquaculture,1310.716,348.73
2023,October,Fishing and Aquaculture,1350.259,358.55
2024,January,Fishing and Aquaculture,1315.279,362.21
2024,April,Fishing and Aquaculture,1445.007,346.69
2024,July,Fishing and Aquaculture,1323.832,445.07
2024,October,Fishing and Aquaculture,1137.513,435.4
2025,January,Fishing and Aquaculture,1307.856,412.1
2025,April,Fishing and Aquaculture,1408.616,361.71
2025,July,Fishing and Aquaculture,1151.009,379.1
2025,October,Fishing and Aquaculture,1225.366,383.89
2021,January,Mining and Quarrying,177.483,443.97
2021,April,Mining and Quarrying,192.386,440.58
2021,July,Mining and Quarrying,202.431,480.32
2021,October,Mining and Quarrying,170.169,413.93
2022,January,Mining and Quarrying,202.714,501.85
2022,April,Mining and Quarrying,202.389,494.55
2022,July,Mining and Quarrying,192.711,555.15
2022,October,Mining and Quarrying,237.063,531.11
2023,January,Mining and Quarrying,217.469,499.37
2023,April,Mining and Quarrying,240.216,493.79
2023,July,Mining and Quarrying,220.872,526.41
2023,October,Mining and Quarrying,162.139,443.77
2024,January,Mining and Quarrying,215.557,535.78
2024,April,Mining and Quarrying,243.76,541.34
2024,July,Mining and Quarrying,185.125,456.39
2024,October,Mining and Quarrying,261.841,522.78
2025,January,Mining and Quarrying,220.392,590.01
2025,April,Mining and Quarrying,188.478,634.18
2025,July,Mining and Quarrying,245.187,566.75
2025,October,Mining and Quarrying,228.418,606.97
2021,January,Manufacturing,3140.448,451.17
2021,April,Manufacturing,3419.99,458.65
2021,July,Manufacturing,3527.548,474.24
2021,October,Manufacturing,3321.39,481.53
2022,January,Manufacturing,3640.645,480.49
2022,April,Manufacturing,3656.096,489.06
2022,July,Manufacturing,3492.183,487.26
2022,October,Manufacturing,3677.079,483.43
2023,January,Manufacturing,3671.474,497.55
2023,April,Manufacturing,3453.843,512.4
2023,July,Manufacturing,3613.119,522.07
2023,October,Manufacturing,3602.15,543.22
2024,January,Manufacturing,3569.569,546.46
2024,April,Manufacturing,3738.593,546.64
2024,July,Manufacturing,3453.313,544.98
2024,October,Manufacturing,3482.886,541.6
2025,January,Manufacturing,3367.724,572.47
2025,April,Manufacturing,3328.812,591.37
2025,July,Manufacturing,3561.909,603.15
2025,October,Manufacturing,3635.146,636.52
2021,January,"Electricity, Gas, and Steam Supply",70.494,708.55
2021,April,"Electricity, Gas, and Steam Supply",70.887,705.08
2021,July,"Electricity, Gas, and Steam Supply",83.583,719.02
2021,October,"Electricity, Gas, and Steam Supply",64.595,778.85
2022,January,"Electricity, Gas, and Steam Supply",81.675,815.15
2022,April,"Electricity, Gas, and Steam Supply",102.447,738.16
2022,July,"Electricity, Gas, and Steam Supply",97.682,777.02
2022,October,"Electricity, Gas, and Steam Supply",100.093,677.94
2023,January,"Electricity, Gas, and Steam Supply",101.894,674.98
2023,April,"Electricity, Gas, and Steam Supply",84.759,823.84
2023,July,"Electricity, Gas, and Steam Supply",92.635,830.6
2023,October,"Electricity, Gas, and Steam Supply",101.689,929.37
2024,January,"Electricity, Gas, and Steam Supply",90.088,906.39
2024,April,"Electricity, Gas, and Steam Supply",70.134,905.54
2024,July,"Electricity, Gas, and Steam Supply",93.182,951.92
2024,October,"Electricity, Gas, and Steam Supply",95.253,882.11
2025,January,"Electricity, Gas, and Steam Supply",88.767,924.33
2025,April,"Electricity, Gas, and Steam Supply",112.115,1094.79
2025,July,"Electricity, Gas, and Steam Supply",97.755,946.22
2025,October,"Electricity, Gas, and Steam Supply",95.937,935.97
2021,January,Water and Waste Management,63.026,448.26
2021,April,Water and Waste Management,63.881,540.15
2021,July,Water and Waste Management,92.039,478.74
2021,October,Water and Waste Management,105.243,517.33
2022,January,Water and Waste Management,93.019,515.3
2022,April,Water and Waste Management,69.588,558.35
2022,July,Water and Waste Management,80.891,433.07
2022,October,Water and Waste Management,52.855,497.54
2023,January,Water and Waste Management,59.05,526.49
2023,April,Water and Waste Management,75.585,603.48
